gene1	event_type	cohort	range_id	event_type.1	range_id.1	chr	start	end	si	loglik	num_samples	base_loglik	delta_ll	lrt	p_lrt	neglog10p	chr_file	is_selected	first_round
CDKN2B	decrease	NFE2L2_WT	chr9.85	decrease	chr9.85	9	22002903	22009305	1.298	-1485.92011348715	0	-1487.76507292484	1.845	3.68991887538778	0.05474	1.262	9	FALSE	
CCND1	increase	NFE2L2_MUT	chr11.745	increase	chr11.745	11	69641156	69654474	1.749	-318.921637003133	0	-319.699939046956	0.7783	1.55660408764425	0.2122	0.6733	11	TRUE	2
FGF4	increase	NFE2L2_MUT	chr11.748	increase	chr11.748	11	69771022	69775341	1.749	-318.921637003133	0	-319.699939046956	0.7783	1.55660408764425	0.2122	0.6733	11	FALSE	
GBE1	decrease	NFE2L2_MUT	chr3.417	decrease	chr3.417	3	81489703	81761645	1.375	-510.302386851067	0	-510.874961609252	0.5726	1.14514951636988	0.2846	0.5458	3	FALSE	
FOXA1	increase	NFE2L2_WT	chr14.158	increase	chr14.158	14	37589552	37595249	0.7659	-972.09851197803	0	-972.564488097256	0.466	0.931952238452368	0.3344	0.4758	14	FALSE	
CDKN2B	decrease	NFE2L2_MUT	chr9.85	decrease	chr9.85	9	22002903	22009305	1.261	-263.23140678984	0	-263.543887248835	0.3125	0.624960917990279	0.4292	0.3673	9	FALSE	
EIF4EBP1	increase	NFE2L2_MUT	chr8.220	increase	chr8.220	8	38030534	38060365	1.409	-403.811962486816	0	-404.072230907904	0.2603	0.520536842176853	0.4706	0.3273	8	FALSE	
FZD6	increase	NFE2L2_MUT	chr8.467	increase	chr8.467	8	103298898	103332866	1.321	-403.896272722111	0	-404.072230907904	0.176	0.351916371586754	0.553	0.2573	8	FALSE	
FOXA1	increase	NFE2L2_MUT	chr14.158	increase	chr14.158	14	37589552	37595249	1.335	-156.981764101048	0	-157.131967230397	0.1502	0.300406258698615	0.5836	0.2339	14	FALSE	
TEAD4	increase	NFE2L2_MUT	chr12.24	increase	chr12.24	12	2959397	3040676	0.7636	-229.233731689185	0	-229.353256904278	0.1195	0.239050430186239	0.6249	0.2042	12	FALSE	
EIF4EBP1	increase	NFE2L2_WT	chr8.220	increase	chr8.220	8	38030534	38060365	1.032	-1954.71886978856	0	-1954.72600805186	0.007138	0.0142765265886737	0.9049	0.0434	8	FALSE	
TEAD4	increase	NFE2L2_WT	chr12.24	increase	chr12.24	12	2959397	3040676	0.9793	-1279.39327886649	0	-1279.39658811732	0.003309	0.00661850166761724	0.9352	0.02911	12	FALSE	
EGFR	increase	NFE2L2_MUT	chr7.244	increase	chr7.244	7	55019017	55211628	1.013	-375.270469690803	0	-375.270797776443	0.0003281	0.000656171279501905	0.9796	0.008967	7	FALSE	
