gene1	event_type	cohort	range_id	event_type.1	range_id.1	chr	start	end	si	loglik	num_samples	base_loglik	delta_ll	lrt	p_lrt	neglog10p	chr_file	is_selected	first_round
EGFR	increase	TP53_MUT	chr7.244	increase	chr7.244	7	55019017	55211628	1.854	-1674.50306143472	0	-1678.24366461887	3.741	7.48120636829526	0.006235	2.205	7	FALSE	
FZD6	increase	TP53_MUT	chr8.467	increase	chr8.467	8	103298898	103332866	1.772	-1703.25568205733	0	-1706.37538989	3.12	6.23941566534313	0.01249	1.903	8	FALSE	
GBE1	decrease	TP53_MUT	chr3.417	decrease	chr3.417	3	81489703	81761645	1.422	-2205.4036166539	0	-2208.44979409159	3.046	6.09235487538626	0.01358	1.867	3	FALSE	
FGFR3	increase	TP53_MUT	chr4.28	increase	chr4.28	4	1793293	1808867	0.3691	-1428.30841122712	0	-1431.1441706941	2.836	5.67151893396976	0.01724	1.763	4	FALSE	
FAM135B	increase	TP53_WT	chr8.553	increase	chr8.553	8	138130023	138497261	2.029	-650.327766988849	0	-652.910303662813	2.583	5.16507334792891	0.02305	1.637	8	FALSE	
MYC	increase	TP53_WT	chr8.536	increase	chr8.536	8	127736231	127742951	2.017	-650.36443429618	0	-652.910303662813	2.546	5.09173873326654	0.02404	1.619	8	FALSE	
CDKN2B	decrease	TP53_MUT	chr9.85	decrease	chr9.85	9	22002903	22009305	1.351	-1317.81259547798	0	-1319.99196189983	2.179	4.35873284369927	0.03682	1.434	9	FALSE	
FZD6	increase	TP53_WT	chr8.467	increase	chr8.467	8	103298898	103332866	1.661	-651.715462565484	0	-652.910303662813	1.195	2.38968219465824	0.1221	0.9131	8	FALSE	
CCND1	increase	TP53_WT	chr11.745	increase	chr11.745	11	69641156	69654474	1.69	-506.435040639836	0	-507.593321018772	1.158	2.31656075787214	0.128	0.8928	11	FALSE	
FGF4	increase	TP53_WT	chr11.748	increase	chr11.748	11	69771022	69775341	1.69	-506.435040639836	0	-507.593321018772	1.158	2.31656075787214	0.128	0.8928	11	FALSE	
FOXA1	increase	TP53_MUT	chr14.158	increase	chr14.158	14	37589552	37595249	1.274	-904.96717891486	0	-905.370345082766	0.4032	0.806332335812158	0.3692	0.4327	14	FALSE	
GBE1	decrease	TP53_WT	chr3.417	decrease	chr3.417	3	81489703	81761645	1.216	-785.145890193035	0	-785.529657949222	0.3838	0.767535512374707	0.381	0.4191	3	FALSE	
SDHA	increase	TP53_WT	chr5.4	increase	chr5.4	5	218320	257082	1.358	-359.546213971714	0	-359.925538975775	0.3793	0.758650008122913	0.3838	0.416	5	FALSE	
CDKN2B	decrease	TP53_WT	chr9.85	decrease	chr9.85	9	22002903	22009305	1.144	-431.732514335491	0	-431.893193668642	0.1607	0.321358666301421	0.5708	0.2435	9	FALSE	
TEAD4	increase	TP53_MUT	chr12.24	increase	chr12.24	12	2959397	3040676	0.8555	-1126.4402853442	0	-1126.58103455871	0.1407	0.281498429020303	0.5957	0.225	12	FALSE	
EIF4EBP1	increase	TP53_MUT	chr8.220	increase	chr8.220	8	38030534	38060365	1.095	-1706.32342182029	0	-1706.37538989	0.05197	0.103936139408233	0.7472	0.1266	8	FALSE	
EIF4EBP1	increase	TP53_WT	chr8.220	increase	chr8.220	8	38030534	38060365	1.132	-652.858972658418	0	-652.910303662813	0.05133	0.102662008791185	0.7487	0.1257	8	FALSE	
TEAD4	increase	TP53_WT	chr12.24	increase	chr12.24	12	2959397	3040676	1.096	-382.694953700402	0	-382.723535889912	0.02858	0.0571643790199232	0.811	0.09096	12	FALSE	
EGFR	increase	TP53_WT	chr7.244	increase	chr7.244	7	55019017	55211628	1.05	-684.729491156801	0	-684.737647662932	0.008157	0.0163130122621169	0.8984	0.04655	7	FALSE	
